fileName,map_id,extent,sector,latitude,longitude,title,narrative,productionDate
floodRisk,T001,AFRICA,set sectors,0.9676,34.2914,Flood Risk in the Manafwa River Basin,"This map shows the relative distribution of flooding risk in the Manafwa River Basin, where the American Red Cross is implementing an early warning system leveraging community disaster preparedness skills. The ARC will use this map to better model the impact of individual flood events and so fine tune the early warning system's coverage and responsiveness.",11/1/2013
2011_09_29_Blocks_Nhoods_Agencies_All_CF,T002,LAC,set sectors,18.5135,-72.3467,Outside Organizations Active in Carrefour Feuilles,This map depicts the distribution and activities of NGO and government actors in different sections of the Carrefour Feuilles neighborhood of Port-au-Prince. This map was used to identify and target the most underserved and vulnerable communities in the inception stages of the LAMIKA project. It has also been used for overall situational awareness throughout the project.,8/1/2011
2012_03_09_Campeche_Satellite_SDE,T003,LAC,set sectors,18.5257,-72.337,Cempeche Satellite,Combining high-resolution satellite imagery with IOM-provided neighborhood boundary lines allowed the ARC to visualize the exact extent and physical layout of the Campeche neighborhood during the early stages of the LAMIKA project. This provided staff and managers with a basic familiarity with the project site from a very early stage of the project.,8/1/2011
2011_12_29_2YRDRR_Final,T004,LAC,set sectors,18.539,-72.3348,ARC Disaster Preparedness Projects in Haiti,"The Haiti Earthquake Two Year Report used maps to meet donor demands for more detailed accounting of how money was being spent. 6 maps depicting the extent of ARC programming in different sectors were produced, one of these being the above map of ARC-funded Disaster Preparedness Activities.",1/1/2012
2012_06_12_MyanmarFinal,T005,AMEE,set sectors,19.75,96.1,Myanmar,Accessing refugee populations and others separated from their loved ones by war can be difficult in Myanmar: ongoing conflicts and government restrictions both constrict the extent of American Red Cross Restoring Family Links activities. Restoring Family Links staff used this map to plan activities in Myanmar and explain to partners and donors outside limits on their activities.,6/1/2012
2012_08_05_PaP_Bilateral_and_Partners_Overview_7.27.11,T006,LAC,set sectors,18.5494,-72.303,American Red Cross Operations in Greater Port-Au-Prince,"The American Red Cross implemented or sponsored an enormous number of camp-based activities aross five sectors during the response phase of the Haiti Assistance Program. To keep track of these activities and enhance overall situational awareness, a map depicting the extent and sectoral distribution of ARC-funded activities was produced and updated on a monthly basis.",7/1/2011
2012_08_17_Cases_v_Volunteers,T007,AFRICA,set sectors,8.4845,-13.2345,Sierra Leone Red Cross Volunteers vs. Reported Cholera Cases,"FACT team members responding to the cholera outbreak in Sierra Leone last August faced enormous difficulty relating tabular data on the cholera outbreak's extent and impact with tabular data on the distribution of health-trained Sierra Leone Red Cross volunteers. A number of maps were produced relating the two, allowing responders to spot gaps in coverage and areas of strength. The map proved wildly successful and extremely popular even outside the Red Cross Movement; FACT team members were invited to high-level meetings at the Ministry of Health solely on the strength of the maps they offered.",8/1/2012
2013_01_30_DisasterResponse_Q2,T008,GLOBAL,set sectors,25,-40,International Emergency Responses,Making sense of all the emergency responses launched by the IROC in a given year can be difficult. To overcome this the GIS team produced a map for the IROC team summarizing the extent and impact of their work during Q1 and Q2 of FY13. IROC information management staff were trained to update the map themselves and so provide the IROC with a bi-weekly snapshot of their work.,12/1/2011
2013_01_31_Latin_America_Programs_FY13_InternalV2,T009,LAC,set sectors,2.1708,-72.1042,ARC Latin America and the Caribbean Programs FY 2013,Regularly updated overview maps help regional IRP staff understand their work at a glance and explain it to others. This map was made for the LACH team in the beginning of FY13 and updated midway through the year. ,1/1/2013
2013_03_29_RFL_MAP,T010,USA,set sectors,38.8951,-77.0367,Restoring Family Links Casework and Resources 2011-2012,"The Restoring Family Links team needed to see and explain how the distribution of their mentors, advocates and caseworkers matched up with the distribution of casework in the United States. The GIS team helped them organize their data and provide a breakdown of resources vs. workload by Red Cross region. This map is used by the RFL team to explain their to donors, represent themselves at conferences, and for day-to-day situational awareness and decision making.",3/1/2013
